x1,y1,z1,x2,y2,z2,x3,y3,z3,
0.461318,0.358341,0.0774954,-12.9878,14.3907,5.52678,7.85604,33.2566,-13.2763,
0.464258,0.362696,0.0783928,-13.141,14.2873,5.48432,7.71519,33.3781,-13.3236,
0.467186,0.367072,0.0792933,-13.2928,14.1826,5.44131,7.57421,33.4991,-13.3706,
0.4701,0.371467,0.0801969,-13.4431,14.0764,5.39774,7.43311,33.6194,-13.4174,
0.473002,0.375882,0.0811035,-13.5921,13.9688,5.35364,7.29187,33.7392,-13.464,
0.475891,0.380317,0.0820132,-13.7396,13.8598,5.309,7.15052,33.8584,-13.5103,
0.478766,0.38477,0.0829259,-13.8857,13.7495,5.26382,7.00905,33.9771,-13.5564,
0.481629,0.389243,0.0838415,-14.0303,13.6379,5.21812,6.86747,34.0951,-13.6023,
0.484477,0.393735,0.0847599,-14.1735,13.5249,5.17191,6.72577,34.2127,-13.6479,
0.487312,0.398245,0.0856812,-14.3152,13.4106,5.12518,6.58397,34.3296,-13.6933,
0.490134,0.402774,0.0866052,-14.4554,13.295,5.07794,6.44207,34.446,-13.7385,
0.492941,0.407321,0.087532,-14.5942,13.1782,5.0302,6.30006,34.5618,-13.7834,
0.495734,0.411887,0.0884614,-14.7314,13.0601,4.98197,6.15795,34.6771,-13.8281,
0.498514,0.41647,0.0893934,-14.8671,12.9407,4.93325,6.01575,34.7918,-13.8726,
0.501279,0.421072,0.090328,-15.0013,12.8201,4.88405,5.87346,34.906,-13.9169,
0.504029,0.425691,0.0912652,-15.134,12.6983,4.83437,5.73108,35.0196,-13.9609,
0.506765,0.430328,0.0922047,-15.2651,12.5752,4.78422,5.58861,35.1326,-14.0047,
0.509486,0.434981,0.0931467,-15.3947,12.451,4.73361,5.44606,35.2452,-14.0483,
0.512192,0.439653,0.0940911,-15.5227,12.3256,4.68253,5.30344,35.3572,-14.0916,
0.514884,0.444341,0.0950378,-15.6491,12.1991,4.63101,5.16073,35.4686,-14.1348,
0.51756,0.449046,0.0959867,-15.7739,12.0714,4.57904,5.01795,35.5795,-14.1777,
0.520221,0.453767,0.0969379,-15.8972,11.9426,4.52663,4.8751,35.6899,-14.2204,
0.522867,0.458505,0.0978912,-16.0189,11.8126,4.47378,4.73218,35.7997,-14.2629,
0.525497,0.463259,0.0988467,-16.1389,11.6816,4.42051,4.58919,35.909,-14.3052,
0.528112,0.46803,0.0998042,-16.2573,11.5495,4.36682,4.44614,36.0178,-14.3472,
0.530711,0.472816,0.100764,-16.3741,11.4163,4.31271,4.30303,36.1261,-14.3891,
0.533295,0.477618,0.101725,-16.4893,11.2821,4.25819,4.15986,36.2338,-14.4307,
0.535862,0.482435,0.102689,-16.6029,11.1468,4.20327,4.01663,36.341,-14.4721,
0.538414,0.487268,0.103654,-16.7147,11.0105,4.14795,3.87336,36.4477,-14.5133,
0.540949,0.492116,0.104621,-16.825,10.8732,4.09224,3.73003,36.5539,-14.5543,
0.543469,0.49698,0.10559,-16.9335,10.7349,4.03614,3.58665,36.6596,-14.5951,
0.545972,0.501858,0.10656,-17.0404,10.5957,3.97967,3.44323,36.7648,-14.6357,
0.548458,0.50675,0.107532,-17.1456,10.4554,3.92282,3.29976,36.8694,-14.676,
0.550928,0.511658,0.108506,-17.2491,10.3143,3.8656,3.15625,36.9736,-14.7162,
0.553382,0.516579,0.109481,-17.3509,10.1722,3.80803,3.01271,37.0772,-14.7562,
0.555819,0.521515,0.110458,-17.451,10.0292,3.7501,2.86913,37.1804,-14.7959,
0.558239,0.526464,0.111436,-17.5494,9.88525,3.69182,2.72551,37.283,-14.8354,
0.560642,0.531428,0.112416,-17.646,9.74046,3.6332,2.58186,37.3852,-14.8748,
0.563028,0.536405,0.113397,-17.741,9.59479,3.57425,2.43818,37.4868,-14.9139,
0.565397,0.541396,0.114379,-17.8342,9.44828,3.51496,2.29448,37.588,-14.9529,
0.567749,0.546399,0.115363,-17.9257,9.30092,3.45535,2.15075,37.6887,-14.9916,
0.570084,0.551416,0.116347,-18.0154,9.15275,3.39542,2.00699,37.7889,-15.0302,
0.572402,0.556446,0.117333,-18.1034,9.00377,3.33519,1.86321,37.8886,-15.0685,
0.574702,0.561489,0.11832,-18.1896,8.85399,3.27464,1.71942,37.9878,-15.1066,
0.576984,0.566544,0.119308,-18.274,8.70345,3.2138,1.57561,38.0865,-15.1446,
0.579249,0.571611,0.120297,-18.3567,8.55214,3.15266,1.43178,38.1848,-15.1823,
0.581497,0.576691,0.121287,-18.4376,8.40009,3.09124,1.28794,38.2826,-15.2199,
0.583726,0.581782,0.122277,-18.5167,8.2473,3.02954,1.14409,38.3799,-15.2573,
0.585938,0.586886,0.123269,-18.594,8.09381,2.96756,1.00022,38.4768,-15.2945,
0.588132,0.592001,0.124261,-18.6695,7.93962,2.90532,0.856355,38.5731,-15.3314,
0.590308,0.597128,0.125254,-18.7433,7.78474,2.84281,0.71248,38.669,-15.3682,
0.592466,0.602266,0.126248,-18.8152,7.6292,2.78005,0.568601,38.7645,-15.4048,
0.594606,0.607415,0.127242,-18.8853,7.47301,2.71703,0.42472,38.8595,-15.4412,
0.596728,0.612575,0.128237,-18.9536,7.31618,2.65378,0.280838,38.954,-15.4775,
0.598831,0.617746,0.129232,-19.0201,7.15872,2.59028,0.136958,39.0481,-15.5135,
0.600916,0.622927,0.130228,-19.0847,7.00067,2.52656,-0.00691843,39.1417,-15.5494,
0.602983,0.628119,0.131224,-19.1475,6.84203,2.46261,-0.15079,39.2348,-15.585,
0.605031,0.633321,0.132221,-19.2085,6.68281,2.39844,-0.294656,39.3275,-15.6205,
0.607061,0.638534,0.133218,-19.2676,6.52303,2.33406,-0.438513,39.4198,-15.6558,
0.609073,0.643756,0.134215,-19.3249,6.36271,2.26947,-0.582361,39.5116,-15.6909,
0.611065,0.648988,0.135212,-19.3803,6.20187,2.20468,-0.726197,39.603,-15.7259,
0.613039,0.654229,0.136209,-19.4339,6.04051,2.1397,-0.87002,39.6939,-15.7606,
0.614995,0.65948,0.137207,-19.4856,5.87866,2.07453,-1.01383,39.7844,-15.7952,
0.616931,0.66474,0.138204,-19.5355,5.71633,2.00918,-1.15762,39.8744,-15.8296,
0.618849,0.670009,0.139202,-19.5835,5.55353,1.94365,-1.3014,39.964,-15.8638,
0.620747,0.675287,0.140199,-19.6296,5.39029,1.87796,-1.44515,40.0532,-15.8978,
0.622627,0.680573,0.141196,-19.6738,5.22661,1.8121,-1.58889,40.1419,-15.9317,
0.624488,0.685868,0.142193,-19.7162,5.06252,1.74609,-1.7326,40.2302,-15.9654,
0.62633,0.691171,0.14319,-19.7567,4.89803,1.67992,-1.87629,40.3181,-15.9989,
0.628152,0.696482,0.144186,-19.7953,4.73315,1.61361,-2.01996,40.4055,-16.0322,
0.629956,0.701802,0.145182,-19.832,4.5679,1.54717,-2.16359,40.4926,-16.0654,
0.63174,0.707129,0.146178,-19.8668,4.40229,1.48059,-2.30721,40.5792,-16.0984,
0.633505,0.712463,0.147173,-19.8997,4.23635,1.41389,-2.45079,40.6653,-16.1312,
0.63525,0.717805,0.148168,-19.9307,4.07009,1.34707,-2.59434,40.7511,-16.1639,
0.636977,0.723155,0.149162,-19.9598,3.90352,1.28013,-2.73786,40.8365,-16.1964,
0.638684,0.728511,0.150156,-19.987,3.73666,1.21309,-2.88135,40.9214,-16.2287,
0.640371,0.733874,0.151149,-20.0123,3.56952,1.14595,-3.0248,41.0059,-16.2608,
0.642039,0.739244,0.152141,-20.0357,3.40213,1.07872,-3.16822,41.09,-16.2928,
0.643688,0.74462,0.153132,-20.0572,3.23449,1.0114,-3.3116,41.1737,-16.3246,
0.645317,0.750003,0.154122,-20.0768,3.06663,0.943998,-3.45494,41.257,-16.3562,
0.646926,0.755392,0.155112,-20.0944,2.89856,0.876522,-3.59825,41.3399,-16.3877,
0.648516,0.760787,0.1561,-20.1101,2.73029,0.808977,-3.74151,41.4224,-16.419,
0.650086,0.766188,0.157088,-20.1239,2.56184,0.74137,-3.88473,41.5045,-16.4502,
0.651637,0.771594,0.158075,-20.1358,2.39323,0.673707,-4.02791,41.5862,-16.4812,
0.653168,0.777006,0.15906,-20.1457,2.22447,0.605995,-4.17105,41.6674,-16.512,
0.654679,0.782423,0.160044,-20.1538,2.05558,0.53824,-4.31414,41.7483,-16.5426,
0.65617,0.787845,0.161027,-20.1598,1.88658,0.470449,-4.45718,41.8288,-16.5731,
0.657642,0.793272,0.162009,-20.164,1.71747,0.402627,-4.60018,41.9089,-16.6035,
0.659094,0.798703,0.162989,-20.1662,1.54829,0.334782,-4.74313,41.9887,-16.6337,
0.660526,0.80414,0.163968,-20.1665,1.37904,0.266919,-4.88603,42.068,-16.6637,
0.661938,0.80958,0.164945,-20.1649,1.20974,0.199045,-5.02888,42.1469,-16.6936,
0.66333,0.815025,0.165921,-20.1613,1.0404,0.131166,-5.17168,42.2255,-16.7233,
0.664702,0.820474,0.166895,-20.1558,0.87105,0.0632897,-5.31443,42.3037,-16.7528,
0.666054,0.825926,0.167868,-20.1483,0.701695,-0.0045788,-5.45712,42.3815,-16.7822,
0.667387,0.831383,0.168839,-20.1389,0.532356,-0.0724326,-5.59976,42.4589,-16.8115,
0.668699,0.836842,0.169808,-20.1276,0.363047,-0.140265,-5.74235,42.5359,-16.8406,
0.669992,0.842305,0.170776,-20.1143,0.193786,-0.20807,-5.88488,42.6126,-16.8695,
0.671264,0.847771,0.171741,-20.099,0.0245884,-0.275841,-6.02735,42.6889,-16.8983,
0.672516,0.85324,0.172705,-20.0819,-0.144529,-0.343572,-6.16976,42.7648,-16.9269,
0.673749,0.858712,0.173667,-20.0628,-0.31355,-0.411255,-6.31212,42.8403,-16.9554,
